time_s,brut_N,filtered_N,applied_N,ressenti_N
1782306437.151970,0.1739251,0.243051,0,0
1782306437.153990,0.2769606,0.246751,0,0
1782306437.155970,0.2720569,0.2443202,0,0
1782306437.157940,0.3485612,0.255312,0,0
1782306437.159980,0.3485612,0.2656691,0,0
1782306437.161940,0.2904856,0.2645217,0,0
1782306437.163940,0.256602,0.2624494,0,0
1782306437.165940,0.256602,0.2608922,0,0
1782306437.167890,0.3509837,0.2651579,0,0
1782306437.169970,0.2997309,0.2639686,0,0
1782306437.171930,0.2951646,0.2662552,0,0
1782306437.173920,0.2386904,0.2609641,0,0
1782306437.175920,0.3054441,0.2657639,0,0
1782306437.177940,0.2717524,0.2656035,0,0
1782306437.179930,0.2732461,0.2638267,0,0
1782306437.181910,0.3904425,0.27831,0,0
1782306437.183920,0.2964089,0.2772575,0,0
1782306437.186020,0.2964089,0.27719,0,0
1782306437.187930,0.2563484,0.2653466,0,0
1782306437.189920,0.2351139,0.2600412,0,0
1782306437.191930,0.256384,0.2581699,0,0
1782306437.193910,0.1972363,0.2493966,0,0
1782306437.195930,0.3405896,0.2596858,0,0
1782306437.197920,0.2225413,0.2516053,0,0
1782306437.199910,0.2654969,0.2533369,0,0
1782306437.201980,0.3800304,0.2666312,0,0
1782306437.203920,0.3122435,0.2710347,0,0
1782306437.205900,0.3648735,0.2782484,0,0
1782306437.207950,0.3648735,0.2859928,0,0
1782306437.209910,0.2651688,0.2816482,0,0
1782306437.211960,0.2452216,0.2760544,0,0
1782306437.213950,0.1353728,0.2522013,0,0
1782306437.215980,0.2958732,0.2574369,0,0
1782306437.217940,0.250078,0.2559975,0,0
1782306437.220020,0.2727113,0.2550293,0,0
1782306437.222070,0.3468461,0.2669292,0,0
1782306437.223980,0.2117329,0.2589803,0,0
1782306437.226100,0.2117329,0.2522202,0,0
1782306437.227940,0.1731688,0.237664,0,0
1782306437.229940,0.2644421,0.2403952,0,0
1782306437.231930,0.2973541,0.2476934,0,0
1782306437.233970,0.3227914,0.2477127,0,0
1782306437.236050,0.2840385,0.24801,0,0
1782306437.238000,0.2840385,0.2494227,0,0
1782306437.239990,0.2468652,0.2461805,0,0
1782306437.241950,0.2617688,0.247542,0,0
1782306437.243950,0.2435537,0.2466751,0,0
1782306437.245990,0.2878375,0.2488462,0,0
1782306437.248020,0.2878375,0.2515836,0,0
1782306437.249980,0.2183101,0.2461951,0,0
1782306437.251950,0.2579696,0.2467158,0,0
1782306437.253960,0.2921196,0.2521135,0,0
1782306437.255940,0.3199349,0.259206,0,0
1782306437.257950,0.3176896,0.2651331,0,0
1782306437.259970,0.3176897,0.2707584,0,0
1782306437.261920,0.2910735,0.2729464,0,0
1782306437.263930,0.2473062,0.2655116,0,0
1782306437.265920,0.246141,0.2599363,0,0
1782306437.267980,0.246141,0.255767,0,0
1782306437.269940,0.3335395,0.2658506,0,0
1782306437.271920,0.2599061,0.2614645,0,0
1782306437.273960,0.2142807,0.2550391,0,0
1782306437.275930,0.3339253,0.2600272,0,0
1782306437.277920,0.3123437,0.2628975,0,0
1782306437.280010,0.3123437,0.2664625,0,0
1782306437.281920,0.2437496,0.2572442,0,0
1782306437.283910,0.4114999,0.2766023,0,0
1782306437.285940,0.3174178,0.2773022,0,0
1782306437.287910,0.2626606,0.2745266,0,0
1782306437.289970,0.2626607,0.2723134,0,0
1782306437.291990,0.2643456,0.2706521,0,0
1782306437.293910,0.367303,0.2775153,0,0
1782306437.295940,0.1920796,0.2629908,0,0
1782306437.297920,0.2805785,0.2632452,0,0
1782306437.299920,0.3423369,0.2673411,0,0
1782306437.301920,0.2898528,0.2690166,0,0
1782306437.303940,0.2798809,0.2679151,0,0
1782306437.305910,0.1744788,0.2552509,0,0
1782306437.307910,0.3391251,0.2620676,0,0
1782306437.309950,0.3391251,0.2691952,0,0
1782306437.311900,0.2543513,0.2648926,0,0
1782306437.313930,0.2352692,0.2600471,0,0
1782306437.315930,0.3019263,0.2645449,0,0
1782306437.317960,0.203813,0.2565967,0,0
1782306437.319930,0.3353291,0.2666802,0,0
1782306437.321950,0.3026322,0.2697232,0,0
1782306437.324050,0.3026322,0.2728016,0,0
1782306437.325980,0.2961932,0.2746122,0,0
1782306437.327980,0.2961932,0.2765032,0,0
1782306437.329930,0.2820493,0.2721006,0,0
1782306437.331910,0.3432431,0.2799474,0,0
1782306437.333920,0.2597121,0.2754415,0,0
1782306437.335970,0.3372798,0.2799967,0,0
1782306437.337960,0.3528605,0.2842206,0,0
1782306437.340020,0.3528606,0.2893668,0,0
1782306437.341980,0.2195154,0.2787262,0,0
1782306437.344000,0.2195154,0.2697688,0,0
1782306437.345890,0.2475106,0.2600426,0,0
1782306437.347950,0.2621877,0.257881,0,0
1782306437.349980,0.2621877,0.2565861,0,0
1782306437.351970,0.2575355,0.2536198,0,0
1782306437.353930,0.3246472,0.2599208,0,0
1782306437.355930,0.2521105,0.2576894,0,0
1782306437.357930,0.323662,0.2654223,0,0
1782306437.359970,0.323662,0.2723913,0,0
1782306437.361920,0.228986,0.2656532,0,0
1782306437.363920,0.1130308,0.2457624,0,0
1782306437.365910,0.2173591,0.2414391,0,0
1782306437.367960,0.2821543,0.2457907,0,0
1782306437.369980,0.2821544,0.2498322,0,0
1782306437.371980,0.3272596,0.2570649,0,0
1782306437.373930,0.2937608,0.2573341,0,0
1782306437.375910,0.3343631,0.2634787,0,0
1782306437.377940,0.3398235,0.2733581,0,0
1782306437.379950,0.3976382,0.2869631,0,0
1782306437.381950,0.2409569,0.2807991,0,0
1782306437.383980,0.2409569,0.2754754,0,0
1782306437.385960,0.257044,0.2728652,0,0
1782306437.387970,0.2348811,0.2663462,0,0
1782306437.389990,0.2348811,0.2610116,0,0
1782306437.391940,0.1762796,0.2498377,0,0
1782306437.393890,0.2524902,0.2501306,0,0
1782306437.395950,0.3346349,0.2590866,0,0
1782306437.397950,0.3263326,0.267278,0,0
1782306437.399940,0.3026494,0.2706891,0,0
1782306437.401980,0.3199979,0.2714189,0,0
1782306437.403950,0.2249677,0.2646753,0,0
1782306437.406020,0.2249677,0.2589554,0,0
1782306437.407960,0.2073721,0.2517822,0,0
1782306437.409940,0.3623896,0.2651505,0,0
1782306437.411970,0.1899759,0.2535417,0,0
1782306437.413920,0.2200946,0.2484019,0,0
1782306437.415960,0.2614151,0.2460149,0,0
1782306437.417950,0.2336068,0.2369204,0,0
1782306437.419970,0.3447354,0.2506981,0,0
1782306437.421990,0.3447354,0.2627605,0,0
1782306437.423960,0.3353331,0.2721279,0,0
1782306437.425980,0.3183258,0.2769591,0,0
1782306437.427970,0.2329067,0.2712076,0,0
1782306437.429900,0.2848866,0.2705939,0,0
1782306437.431980,0.3293466,0.2759798,0,0
1782306437.433950,0.2916547,0.2665356,0,0
1782306437.436000,0.1978025,0.2542719,0,0
1782306437.437970,0.3288406,0.2620454,0,0
1782306437.439980,0.2396891,0.2566798,0,0
1782306437.442000,0.3403856,0.2660725,0,0
1782306437.443950,0.2273548,0.2587004,0,0
1782306437.446270,0.2273548,0.2527785,0,0
1782306437.447970,0.3200478,0.2607761,0,0
1782306437.450130,0.2926567,0.2582255,0,0
1782306437.452000,0.4222167,0.2761067,0,0
1782306437.454040,0.2044838,0.2664876,0,0
1782306437.455970,0.3525139,0.2762882,0,0
1782306437.457990,0.2633631,0.2717514,0,0
1782306437.459980,0.3149945,0.2762314,0,0
1782306437.462070,0.3149945,0.2804364,0,0
